week_start_date,season,month,season_week,RA_mean_RHsp_4,ST_min_Tmin_4,RA_mean_Tdp_4,RA_max_RHsp_4,RA_mean_Tmin_4,RA_max_Tdp_4,ST_mean_Tmin_4,RA_min_Tmin_4,RA_max_Tdtr_18,RA_min_RHsp_4,RA_min_Tdp_4,RA_mean_Tdtr_18,RA_min_Tdtr_16,RA_max_Tmax_15,RA_mean_Tair_8,ST_mean_Tmax_7,RA_mean_Tavg_8,RA_mean_Tmax_15,RA_max_Tavg_8,RA_min_Tair_8,RA_min_Tavg_4,RA_max_Tair_7,ndvi_sw_15,SA_max_Pday_4,ST_min_Tdtr_22,ndvi_ne_15,ndvi_nw_15,SA_PRECIP_GT30_4,RA_min_RHpc_15,RA_max_Pday_19,SA_mean_Pday_17,ndvi_se_23,ST_max_Tmax_24,RA_mean_Pday_18,SA_PRECIP_GT10_17,RA_mean_RHpc_18,SA_PRECIP_GT1_26,RA_max_RHpc_18,ST_mean_Tavg_25,total_cases
2000-07-01,2000/2001,Jul,1,16.62142857142857,20.9,22.0214285714286,17.39,20.378571428571448,22.77000000000004,21.3,19.05000000000001,9.299999999999956,15.79,21.20000000000005,7.1999999999999975,9.0,33.350000000000016,23.53571428571429,31.375,24.464285714285754,30.72142857142861,25.550000000000008,23.120000000000005,23.350000000000023,24.74000000000001,0.2301143,15.37,11.0,0.2197857,0.2224143,0.0,85.1,21.4,13.11857142857143,0.2363167,33.6,19.32,4.0,94.90857142857143,6.0,98.98,27.425,0
2000-07-08,2000/2001,Jul,2,16.325714285714287,21.0,21.681428571428594,18.28,20.53571428571431,23.5,21.28,18.350000000000023,9.199999999999989,14.44,19.77000000000004,5.685714285714287,3.0,30.75,23.682857142857166,30.5,24.685714285714308,28.4214285714286,25.550000000000008,22.77000000000004,23.75,23.450000000000053,0.231,41.53,13.0,0.250425,0.22208000000000006,1.0,90.63,76.3,9.164285714285713,0.2648857,32.0,14.80857142857143,2.0,93.87571428571428,6.0,98.88,27.338888888888892,0
2000-07-15,2000/2001,Jul,3,16.835714285714285,19.8,22.21714285714288,18.65,20.90714285714289,23.93000000000001,20.83333333333333,18.650000000000034,11.899999999999974,15.19,20.600000000000023,10.714285714285708,4.300000000000011,29.550000000000008,22.78571428571432,32.800000000000004,23.94285714285716,27.19285714285716,25.350000000000023,22.410000000000025,24.0,24.220000000000034,0.1217429,21.47,10.0,0.1457571,0.1363286,0.0,91.65,31.2,11.267142857142858,0.4199667,34.0,7.482857142857143,3.0,87.91,4.0,94.75,27.25277777777778,0
2000-07-22,2000/2001,Jul,4,16.50428571428571,20.7,21.877142857142893,17.19,20.12142857142861,22.52000000000004,21.0,17.95000000000005,13.300000000000011,15.72,21.100000000000023,8.87142857142858,3.5,31.75,23.307142857142892,31.4,24.70000000000002,28.421428571428603,26.700000000000053,21.950000000000053,24.700000000000053,23.460000000000036,0.3060667,10.45,10.7,0.2912571,0.3352667,0.0,86.9,14.8,16.944285714285712,0.231,35.5,24.291428571428565,5.0,91.76999999999998,7.0,99.45,27.16666666666667,0
2000-07-29,2000/2001,Jul,5,17.18285714285714,20.7,22.542857142857148,17.69,20.592857142857174,23.0,20.925,19.45000000000005,9.699999999999989,16.26,21.629999999999995,7.400000000000001,4.600000000000024,31.150000000000034,23.11000000000002,32.6,23.94285714285718,30.178571428571445,24.950000000000053,22.43000000000001,23.450000000000053,25.400000000000034,0.2968167,32.36,9.5,0.2718571,0.1913,2.0,88.3,133.7,14.692857142857141,0.2480714,36.0,6.524285714285715,2.0,93.14285714285714,4.0,96.9,27.93333333333333,0
2000-08-05,2000/2001,Aug,6,16.14,18.0,21.430000000000025,17.76,20.17857142857145,23.050000000000008,20.766666666666673,18.95000000000005,7.899999999999977,12.42,17.430000000000007,5.599999999999999,5.199999999999988,30.350000000000023,23.924285714285737,31.42,25.364285714285735,27.950000000000035,27.600000000000023,22.890000000000054,22.450000000000053,24.36000000000001,0.2689857,9.58,10.3,0.25993330000000003,0.2722667,0.0,92.12,15.87,11.857142857142858,0.2267,33.0,10.62857142857143,2.0,96.24285714285715,4.0,98.85,28.025,0
2000-08-12,2000/2001,Aug,7,14.45142857142857,14.7,19.694285714285737,16.68,18.535714285714306,22.100000000000023,18.83333333333333,15.450000000000045,10.5,12.45,17.450000000000045,7.157142857142861,5.2000000000000455,31.850000000000023,23.595714285714298,32.625,24.957142857142877,29.550000000000008,26.25,22.550000000000008,22.950000000000053,25.02000000000004,0.34656,25.89,10.2,0.26727140000000005,0.33202,0.0,91.38,18.0,11.887142857142859,0.3226,33.0,6.5857142857142845,4.0,92.01,4.0,96.7,26.775,0
2000-08-19,2000/2001,Aug,8,14.265714285714285,17.0,19.511428571428606,15.85,18.264285714285734,21.32000000000005,19.98,15.350000000000026,9.199999999999989,12.44,17.400000000000034,7.928571428571421,3.400000000000034,29.550000000000008,23.724285714285735,31.8,25.664285714285736,27.435714285714322,27.25,22.870000000000005,21.100000000000023,23.79000000000002,0.1708,25.61,11.6,0.1911,0.1527714,0.0,90.47,20.4,8.695714285714287,0.3876857,33.0,8.128571428571428,3.0,92.0257142857143,6.0,97.48,26.380000000000006,0
2000-08-26,2000/2001,Aug,9,14.75,19.0,20.030000000000022,17.06,20.150000000000034,22.43000000000001,20.8,17.95000000000005,8.699999999999989,13.25,18.379999999999995,6.771428571428585,3.0,30.550000000000008,23.4514285714286,30.58333333333333,24.46428571428575,28.321428571428594,25.550000000000008,23.150000000000034,24.650000000000034,23.600000000000023,0.2449714,51.87,9.6,0.1982,0.2728857,1.0,88.98,18.8,20.65142857142857,0.2222,34.0,7.0214285714285705,6.0,94.44714285714285,7.0,98.7,26.93333333333333,0
2000-09-02,2000/2001,Sep,10,15.531428571428574,20.0,20.90857142857144,16.8,19.77857142857146,22.100000000000023,21.516666666666666,18.850000000000023,10.600000000000025,14.58,19.879999999999995,8.142857142857133,4.0,30.25,22.705714285714308,32.166666666666664,23.664285714285736,27.12142857142859,24.650000000000034,21.960000000000036,23.300000000000008,24.19,0.2839286,28.33,9.8,0.2586714,0.2490143,0.0,94.07,11.7,12.33,0.163325,34.0,21.0,2.0,95.32,7.0,99.28,26.96,0
