DATE,YYYY,MM,DD,WEEK_OF_YEAR,CAL_WEEK_OF_YEAR,TMAX,TMIN,TAVG,TDTR,PRCP,SAT_PRECIP,RA_AIR_TEMP,RA_DP_TEMP,RA_REL_HUM,RA_SPEC_HUM,RA_MIN_AIR_TEMP,RA_MAX_AIR_TEMP,RA_PRECIP_AMT,RA_TDTR,RA_TAVG,RA_SAT_PRECIP
1989-01-01,1989,1,1,1,52,28.3,21.7,25.0,6.6,0.0,0.0,24.33000000000004,20.010000000000048,76.85,14.56,23.25,25.450000000000045,4.0,2.2000000000000455,24.350000000000023,0.0
1989-01-02,1989,1,2,1,1,27.8,20.6,24.2,7.2,0.0,,25.439999999999998,20.160000000000025,72.53,14.71,24.75,26.75,0.0,2.0,25.75,
1989-01-03,1989,1,3,1,1,28.9,20.6,24.8,8.3,1.0,0.0,24.77000000000004,20.49000000000001,77.2,15.02,23.450000000000045,25.950000000000045,0.6,2.5,24.700000000000045,0.0
1989-01-04,1989,1,4,1,1,28.9,19.4,24.1,9.5,0.0,0.0,24.360000000000014,19.600000000000023,74.7,14.22,22.850000000000023,25.55000000000001,0.8,2.6999999999999886,24.200000000000045,0.0
1989-01-05,1989,1,5,1,1,28.9,21.1,25.0,7.8,0.0,0.0,23.900000000000034,19.950000000000045,78.8,14.52,21.650000000000034,26.350000000000023,0.0,4.699999999999989,24.0,0.0
1989-01-06,1989,1,6,1,1,28.3,21.1,24.7,7.2,1.3,0.0,24.860000000000014,19.890000000000043,74.0,14.45,24.05000000000001,26.150000000000034,0.0,2.1000000000000227,25.100000000000023,0.0
1989-01-07,1989,1,7,1,1,28.3,21.1,24.7,7.2,1.8,0.0,24.170000000000016,20.620000000000005,80.68,15.13,23.05000000000001,24.850000000000023,7.5,1.8000000000000114,23.950000000000045,0.0
1989-01-08,1989,1,8,2,1,27.8,21.7,24.8,6.1,1.0,0.0,23.420000000000016,20.910000000000025,85.83,15.39,22.450000000000045,24.25,20.4,1.7999999999999545,23.350000000000023,0.0
1989-01-09,1989,1,9,2,2,27.8,22.8,25.3,5.0,2.8,13.21,23.629999999999995,19.460000000000036,77.68,14.06,22.55000000000001,25.150000000000034,8.5,2.6000000000000227,23.850000000000023,13.21
1989-01-10,1989,1,10,2,2,28.3,21.7,25.0,6.6,8.4,13.99,23.49000000000001,19.27000000000004,77.28,13.88,22.55000000000001,24.450000000000045,15.8,1.900000000000034,23.5,13.99
1989-01-11,1989,1,11,2,2,26.7,21.1,23.9,5.6,12.4,0.0,22.79000000000002,19.57000000000005,82.22,14.16,22.150000000000034,24.25,21.5,2.099999999999966,23.200000000000045,0.0
1989-01-12,1989,1,12,2,2,26.7,20.6,23.7,6.1,23.6,0.0,23.400000000000034,19.710000000000036,79.8,14.28,22.950000000000045,24.350000000000023,9.8,1.3999999999999773,23.650000000000034,0.0
1989-01-13,1989,1,13,2,2,27.2,22.2,24.7,5.0,1.3,0.0,24.150000000000034,19.49000000000001,75.47,14.1,22.850000000000023,25.75,4.1,2.8999999999999773,24.30000000000001,0.0
1989-01-14,1989,1,14,2,2,27.2,21.1,24.2,6.1,0.3,0.0,24.28000000000003,19.450000000000045,74.5,14.05,23.650000000000034,25.450000000000045,1.6,1.8000000000000114,24.550000000000068,0.0
1989-01-15,1989,1,15,3,2,27.2,21.7,24.5,5.5,0.5,0.0,24.310000000000002,19.370000000000005,73.85,13.94,23.150000000000034,25.450000000000045,1.5,2.3000000000000114,24.300000000000068,0.0
1989-01-16,1989,1,16,3,3,27.2,20.0,23.6,7.2,3.6,0.0,23.760000000000048,19.910000000000025,78.95,14.44,22.75,24.450000000000045,2.9,1.7000000000000455,23.600000000000023,0.0
1989-01-17,1989,1,17,3,3,27.8,21.1,24.5,6.7,0.8,0.0,23.439999999999998,19.980000000000018,81.05,14.51,22.75,24.650000000000034,5.5,1.900000000000034,23.700000000000045,0.0
1989-01-18,1989,1,18,3,3,27.8,20.6,24.2,7.2,0.0,0.0,23.680000000000007,19.33000000000004,76.85,13.98,22.55000000000001,24.25,3.3,1.6999999999999886,23.399999999999977,0.0
1989-01-19,1989,1,19,3,3,27.2,21.1,24.2,6.1,1.0,0.0,23.470000000000027,19.210000000000036,77.02,13.86,22.650000000000034,24.05000000000001,3.0,1.3999999999999773,23.350000000000023,0.0
1989-01-20,1989,1,20,3,3,27.2,20.6,23.9,6.6,0.8,0.0,23.57000000000005,19.560000000000002,78.18,14.17,22.350000000000023,24.650000000000034,6.6,2.3000000000000114,23.5,0.0
1989-01-21,1989,1,21,3,3,30.0,21.1,25.5,8.9,0.0,0.0,23.640000000000043,20.900000000000034,84.83,15.45,22.75,24.950000000000045,2.7,2.2000000000000455,23.850000000000023,0.0
1989-01-22,1989,1,22,4,3,29.4,21.7,25.5,7.7,0.0,0.0,24.78000000000003,21.08000000000004,79.93,15.57,24.150000000000034,26.450000000000045,1.0,2.3000000000000114,25.300000000000068,0.0
1989-01-23,1989,1,23,4,4,28.9,22.2,25.5,6.7,0.0,0.0,24.710000000000036,20.689999999999998,78.35,15.2,24.05000000000001,25.850000000000023,0.8,1.8000000000000114,24.950000000000045,0.0
1989-01-24,1989,1,24,4,4,29.4,20.0,24.7,9.4,0.0,0.0,24.78000000000003,20.08000000000004,75.07,14.62,23.850000000000023,26.450000000000045,0.0,2.6000000000000227,25.150000000000034,0.0
1989-01-25,1989,1,25,4,4,28.9,20.0,24.5,8.9,0.0,0.0,24.30000000000001,20.730000000000018,80.45,15.24,23.450000000000045,25.850000000000023,0.2,2.3999999999999773,24.650000000000034,0.0
1989-01-26,1989,1,26,4,4,27.8,21.1,24.5,6.7,4.3,0.0,24.480000000000018,21.05000000000001,81.07,15.52,23.650000000000034,25.350000000000023,0.9,1.6999999999999886,24.5,0.0
1989-01-27,1989,1,27,4,4,27.8,21.1,24.5,6.7,1.3,0.0,24.30000000000001,20.350000000000023,78.75,14.9,23.350000000000023,25.75,2.4,2.3999999999999773,24.55000000000001,0.0
1989-01-28,1989,1,28,4,4,28.3,19.4,23.8,8.9,0.0,0.0,24.32000000000005,19.52000000000004,75.05,14.2,22.950000000000045,26.150000000000034,0.0,3.1999999999999886,24.550000000000068,0.0
1989-01-29,1989,1,29,5,4,28.3,21.1,24.7,7.2,0.0,0.0,23.32000000000005,19.25,78.1,13.9,22.05000000000001,24.25,4.0,2.1999999999999886,23.149999999999977,0.0
1989-01-30,1989,1,30,5,5,28.3,20.6,24.5,7.7,0.0,0.0,23.99000000000001,18.80000000000001,72.75,13.5,22.850000000000023,25.450000000000045,0.6,2.6000000000000227,24.150000000000034,0.0
1989-01-31,1989,1,31,5,5,28.3,20.6,24.5,7.7,9.1,0.0,23.99000000000001,19.200000000000045,74.62,13.86,23.350000000000023,25.350000000000023,0.7,2.0,24.350000000000023,0.0
1989-02-01,1989,2,32,5,5,27.8,19.4,23.6,8.4,2.5,0.0,23.939999999999998,18.870000000000005,73.32,13.55,22.950000000000045,24.950000000000045,1.2,2.0,23.950000000000045,0.0
1989-02-02,1989,2,33,5,5,27.2,21.7,24.5,5.5,0.0,,23.850000000000023,19.060000000000002,74.62,13.7,23.350000000000023,24.75,1.4,1.3999999999999773,24.05000000000001,
1989-02-03,1989,2,34,5,5,27.8,22.8,25.3,5.0,0.0,,23.689999999999998,18.960000000000036,74.73,13.6,22.55000000000001,24.05000000000001,2.0,1.5,23.30000000000001,
1989-02-04,1989,2,35,5,5,27.8,20.0,23.9,7.8,1.3,,23.49000000000001,19.05000000000001,76.3,13.71,22.850000000000023,24.05000000000001,3.48,1.1999999999999886,23.450000000000045,
1989-02-05,1989,2,36,6,5,27.8,20.6,24.2,7.2,0.5,0.0,24.110000000000014,18.890000000000043,72.62,13.53,23.150000000000034,25.450000000000045,0.2,2.3000000000000114,24.300000000000068,0.0
1989-02-06,1989,2,37,6,6,26.7,21.1,23.9,5.6,5.6,0.0,24.180000000000007,19.57000000000005,75.57,14.13,23.150000000000034,25.350000000000023,1.0,2.1999999999999886,24.25,0.0
1989-02-07,1989,2,38,6,6,27.8,23.3,25.5,4.5,0.0,0.0,24.480000000000018,18.939999999999998,71.2,13.56,23.650000000000034,25.650000000000034,0.0,2.0,24.650000000000034,0.0
1989-02-08,1989,2,39,6,6,27.2,21.7,24.5,5.5,5.8,0.0,23.27000000000004,19.370000000000005,78.75,13.94,22.650000000000034,24.350000000000023,7.3,1.6999999999999886,23.5,0.0
1989-02-09,1989,2,40,6,6,27.2,21.7,24.5,5.5,4.1,0.0,23.52000000000004,18.970000000000027,75.62,13.6,22.450000000000045,24.350000000000023,2.4,1.8999999999999773,23.400000000000034,0.0
1989-02-10,1989,2,41,6,6,26.7,20.6,23.7,6.1,0.8,0.0,23.55000000000001,19.010000000000048,75.7,13.64,22.850000000000023,24.350000000000023,0.6,1.5,23.600000000000023,0.0
1989-02-11,1989,2,42,6,6,27.8,20.6,24.2,7.2,5.6,0.0,23.75,19.32000000000005,76.1,13.89,23.150000000000034,24.650000000000034,0.8,1.5,23.900000000000034,0.0
1989-02-12,1989,2,43,7,6,27.2,20.0,23.6,7.2,0.0,0.0,24.08000000000004,19.30000000000001,74.82,13.92,23.150000000000034,25.55000000000001,1.4,2.3999999999999773,24.350000000000023,0.0
1989-02-13,1989,2,44,7,7,27.8,23.3,25.5,4.5,1.3,0.0,24.100000000000023,19.260000000000048,74.32,13.86,23.350000000000023,25.650000000000034,0.76,2.3000000000000114,24.5,0.0
1989-02-14,1989,2,45,7,7,27.8,23.3,25.5,4.5,0.0,0.0,23.870000000000005,18.07000000000005,69.92,12.85,22.350000000000023,24.75,1.0,2.3999999999999773,23.55000000000001,0.0
1989-02-15,1989,2,46,7,7,27.2,20.0,23.6,7.2,7.1,37.23,22.760000000000048,18.140000000000043,75.32,13.0,21.450000000000045,23.450000000000045,15.3,2.0,22.450000000000045,37.23
1989-02-16,1989,2,47,7,7,26.7,20.0,23.4,6.7,31.8,7.03,22.700000000000045,18.890000000000043,79.2,13.64,21.950000000000045,24.450000000000045,11.0,2.5,23.200000000000045,7.03
1989-02-17,1989,2,48,7,7,25.0,20.6,22.8,4.4,54.1,,22.52000000000004,20.27000000000004,87.12,14.83,21.850000000000023,23.25,28.4,1.3999999999999773,22.55000000000001,
1989-02-18,1989,2,49,7,7,28.3,21.1,24.7,7.2,0.0,,23.150000000000034,20.480000000000018,85.15,15.04,22.25,24.350000000000023,5.5,2.1000000000000227,23.30000000000001,
