week_start_date,season,month,season_week,ST_mean_Tmin_11,ST_mean_Tavg_11,ST_min_Tmin_11,ST_mean_Tmax_12,RA_max_Tair_9,RA_max_Tavg_9,RA_mean_Tmin_9,RA_mean_Tair_9,RA_max_Tmax_10,RA_min_Tmin_9,RA_mean_Tavg_10,RA_mean_Tdp_10,ST_max_Tmax_11,RA_mean_RHsp_9,RA_max_Tdp_10,RA_max_RHsp_10,RA_min_RHsp_9,RA_min_Tdp_9,RA_min_Tair_10,RA_mean_Tmax_10,RA_min_Tavg_10,SA_PRECIP_GT1_7,RA_mean_RHpc_5,ST_mean_Tdtr_26,RA_max_RHpc_4,RA_min_RHpc_11,ST_max_Tdtr_26,RA_mean_Pday_4,ndvi_se_16,RA_mean_Tdtr_4,RA_min_Tdtr_4,SA_PRECIP_GT10_26,ST_PRCP_GT1_25,total_cases
1990-04-30,1990/1991,Apr,1,21.442857142857143,24.95714285714286,20.6,28.17142857142857,24.530000000000033,24.900000000000034,22.9214285714286,23.910000000000014,24.950000000000053,22.550000000000008,23.64285714285717,19.098571428571454,31.1,13.955714285714288,19.580000000000037,14.14,13.35,18.629999999999995,23.36000000000001,24.678571428571463,23.05000000000007,3.0,75.13285714285712,6.442857142857143,81.55,70.82,7.8,1.3,0.2811,3.1999999999999966,2.599999999999966,3.0,4.0,4
1990-05-07,1990/1991,May,2,21.128571428571426,24.47142857142857,20.6,28.414285714285718,24.44,24.75,22.664285714285736,23.648571428571447,26.450000000000053,21.650000000000034,24.185714285714308,19.31000000000002,28.3,13.981428571428573,19.94,14.5,13.1,18.330000000000037,23.43000000000001,25.450000000000035,23.700000000000053,0.0,77.81857142857143,6.7714285714285705,80.75,73.38,7.3,0.6314285714285716,0.1169,2.4285714285714284,1.8999999999999773,0.0,5.0,5
1990-05-14,1990/1991,May,3,21.6,25.042857142857148,20.0,27.771428571428576,24.129999999999995,24.350000000000023,22.807142857142885,23.69714285714287,26.150000000000034,22.050000000000008,23.878571428571448,19.340000000000025,30.6,14.587142857142856,20.0,14.58,13.69,19.02000000000004,22.570000000000054,25.092857142857167,22.650000000000034,0.0,75.24285714285716,6.457142857142856,84.25,73.5,8.4,3.4857142857142858,0.1275857,2.6142857142857157,1.6999999999999886,0.0,3.0,4
1990-05-21,1990/1991,May,4,21.28571428571428,24.57142857142857,20.6,28.485714285714288,24.530000000000033,24.800000000000008,23.2214285714286,24.22142857142859,25.75,22.950000000000053,23.86428571428573,20.018571428571445,29.4,14.287142857142856,20.830000000000037,15.35,13.47,18.77000000000004,22.629999999999995,24.9214285714286,22.600000000000023,0.0,77.75571428571428,8.042857142857143,85.35,73.55,10.0,4.557142857142857,0.2684667,2.9571428571428635,1.0,3.0,1.0,3
1990-05-28,1990/1991,May,5,21.657142857142855,24.52857142857143,20.0,27.857142857142854,24.129999999999995,24.0,22.735714285714305,23.601428571428585,26.25,22.350000000000023,24.47857142857145,19.694285714285733,28.3,13.625714285714285,20.600000000000023,15.11,13.09,18.27000000000004,23.69,25.73571428571432,23.899999999999977,0.0,72.41571428571429,8.257142857142856,81.3,73.58,10.0,2.377142857142857,0.1718,2.3857142857142843,1.8000000000000114,0.0,0.0,6
1990-06-04,1990/1991,Jun,6,21.357142857142858,24.985714285714284,20.6,27.385714285714286,25.650000000000034,26.100000000000023,23.750000000000025,25.094285714285746,25.550000000000008,22.950000000000053,23.671428571428585,18.930000000000025,29.4,15.460000000000004,19.25,13.87,14.32,19.730000000000018,23.300000000000008,24.607142857142872,23.100000000000023,1.0,75.39714285714284,9.985714285714286,87.47,72.03,12.2,3.271428571428572,0.2996571,2.242857142857141,1.4000000000000343,0.0,1.0,2
1990-06-11,1990/1991,Jun,7,20.9,24.642857142857146,20.0,28.62857142857143,25.51000000000005,25.75,24.135714285714307,25.127142857142896,28.150000000000034,23.550000000000008,25.350000000000023,20.918571428571447,28.9,14.965714285714286,21.970000000000027,16.5,14.61,20.0,24.210000000000036,26.95000000000002,24.650000000000034,1.0,82.52142857142857,8.1,85.37,73.42,8.9,2.642857142857143,0.1291714,2.442857142857146,1.5,0.0,3.0,4
1990-06-18,1990/1991,Jun,8,22.47142857142857,27.0,21.7,28.32857142857143,25.600000000000023,25.950000000000053,23.59285714285717,24.76428571428573,26.950000000000053,22.550000000000008,25.350000000000023,20.404285714285734,33.3,15.18142857142857,21.430000000000007,15.94,12.7,17.75,24.900000000000034,26.564285714285734,25.100000000000023,2.0,79.95428571428572,8.557142857142857,84.95,74.1,10.0,1.042857142857143,0.277475,3.0857142857142645,1.6999999999999886,0.0,4.0,5
1990-06-25,1990/1991,Jun,9,22.542857142857148,26.24285714285714,21.7,31.52857142857143,24.660000000000025,24.850000000000023,22.964285714285737,24.30000000000002,27.75,21.650000000000034,24.900000000000034,20.56142857142859,30.6,13.742857142857142,21.820000000000054,16.32,11.43,16.080000000000037,23.920000000000016,26.20714285714289,24.100000000000023,4.0,79.81714285714284,8.525,86.65,72.62,11.1,3.5985714285714288,0.1985,2.1999999999999806,1.5999999999999657,0.0,3.0,10
1990-07-02,1990/1991,Jul,10,23.014285714285712,26.414285714285718,21.7,29.914285714285718,25.44,25.850000000000023,23.9214285714286,24.91714285714289,26.650000000000034,23.25,24.44285714285717,18.915714285714312,31.7,14.835714285714285,21.830000000000037,16.38,13.32,18.52000000000004,23.890000000000054,25.921428571428603,24.150000000000034,5.0,80.41000000000003,7.042857142857144,86.43,68.55,7.8,6.385714285714285,0.1165286,1.8999999999999932,1.3999999999999773,1.0,5.0,6
